policy,rewards,run,,
"{'5': [0.24379456043243408, 0.0], '3': [0.32930833101272583, 0.0], '1': [0.2, 1.0], '2': [0.0, 0.0], '4': [0.7091269493103027, 0.0]}",351.6223186,0,,328.2504093
"{'5': [1.0, 0.22980231046676636], '3': [0.426882266998291, 0.0], '1': [0.8, 0.8], '2': [0.7693257927894592, 0.0], '4': [1.0, 0.0]}",10.18339306,1,,
"{'5': [0.0, 0.5055950880050659], '3': [0.0, 0.0], '1': [0.2, 1.0], '2': [0.0, 0.2928588390350342], '4': [0.0, 0.0]}",489.6225733,2,,
"{'5': [1.0, 1.0], '3': [0.02324175462126732, 1.0], '1': [0.2, 1.0], '2': [0.0, 0.8607469201087952], '4': [0.0, 0.2078874111175537]}",302.0471988,3,,
"{'5': [0.0, 0.0], '3': [0.0, 0.18741992115974426], '1': [0.2, 1.0], '2': [0.0, 0.0], '4': [0.0, 0.0]}",341.1143781,4,,
"{'5': [0.0, 1.0], '3': [0.0, 0.09368246793746948], '1': [0.2, 1.0], '2': [0.1539520025253296, 0.0], '4': [0.0, 0.7089633941650391]}",303.5240458,5,,
"{'5': [0.05689629912376404, 0.13425016403198242], '3': [1.0, 0.0], '1': [0.2, 1.0], '2': [0.0, 0.0], '4': [0.1310131847858429, 0.7634673118591309]}",346.1323734,6,,
"{'5': [0.0, 0.7502236366271973], '3': [0.0, 0.0], '1': [0.2, 1.0], '2': [0.3910282850265503, 0.0], '4': [0.24665266275405884, 0.0]}",315.3864405,7,,
"{'5': [0.0, 0.31557661294937134], '3': [0.0, 0.27227476239204407], '1': [1.0, 0.4], '2': [0.0, 0.0], '4': [0.0, 0.0]}",40.29570331,8,,
"{'5': [0.0, 0.3719415068626404], '3': [0.46515023708343506, 0.0849463939666748], '1': [0.2, 1.0], '2': [0.7903405427932739, 0.9862897396087646], '4': [1.0, 1.0]}",464.4567268,9,,
