policy,rewards,run,,
"{'3': [0.0, 0.0], '4': [0.12373042106628418, 0.0], '5': [0.0, 0.34091949462890625], '2': [0.0, 0.0], '1': [0.2, 1.0]}",475.4866809,0,,369.5628291
"{'3': [0.4497935473918915, 0.7193293571472168], '4': [0.7412295937538147, 0.0], '5': [0.0, 0.6107958555221558], '2': [0.0, 1.0], '1': [0.2, 1.0]}",490.1105741,1,,
"{'3': [0.48557159304618835, 0.0], '4': [1.0, 0.1333019733428955], '5': [0.19310268759727478, 0.4703095555305481], '2': [0.0, 0.0], '1': [0.2, 1.0]}",479.571537,2,,
"{'3': [0.9644681811332703, 0.01883859932422638], '4': [1.0, 0.17736519873142242], '5': [1.0, 0.0], '2': [0.9011116027832031, 0.0], '1': [0.2, 1.0]}",306.1838923,3,,
"{'3': [1.0, 0.0], '4': [1.0, 0.5634598731994629], '5': [1.0, 0.1349911391735077], '2': [1.0, 0.0], '1': [0.2, 1.0]}",279.5081358,4,,
"{'3': [0.4535427689552307, 0.20417168736457825], '4': [0.0, 0.0], '5': [0.0, 0.33412909507751465], '2': [0.0, 0.0], '1': [0.2, 1.0]}",467.8225886,5,,
"{'3': [0.0, 1.0], '4': [0.0, 1.0], '5': [0.0, 0.6950647830963135], '2': [0.0, 1.0], '1': [0.2, 1.0]}",339.4083377,6,,
"{'3': [0.565077543258667, 0.0], '4': [0.0, 0.0], '5': [0.0, 0.16627687215805054], '2': [0.13806189596652985, 0.0], '1': [0.2, 1.0]}",399.7173204,7,,
"{'3': [0.9990742802619934, 0.0], '4': [1.0, 0.0], '5': [0.0, 0.0], '2': [0.5767209529876709, 0.0], '1': [0.2, 1.0]}",269.0998165,8,,
"{'3': [1.0, 0.0], '4': [1.0, 0.6402101516723633], '5': [1.0, 0.005779862403869629], '2': [1.0, 0.17224925756454468], '1': [0.2, 1.0]}",296.2710243,9,,
