policy,rewards,run,,
"{'2': [0.0, 0.08640918135643005], '5': [1.0, 1.0], '4': [1.0, 0.2887694835662842], '3': [0.0, 1.0], '1': [0.0, 0.8]}",343.3728628,0,,281.1194905
"{'2': [0.0, 1.0], '5': [0.0, 0.6571937799453735], '4': [0.0, 0.061859726905822754], '3': [0.0, 1.0], '1': [0.0, 0.8]}",,1,,
"{'2': [1.0, 0.0], '5': [1.0, 0.0], '4': [1.0, 0.0], '3': [1.0, 0.0], '1': [0.0, 0.0]}",,2,,
"{'2': [0.0, 0.7996839284896851], '5': [0.0, 0.0], '4': [0.0, 0.0], '3': [0.0, 0.20757436752319336], '1': [0.0, 0.0]}",,3,,
"{'2': [0.0, 0.0], '5': [1.0, 0.0], '4': [0.0, 0.0], '3': [1.0, 0.0], '1': [0.0, 0.0]}",183.105848,4,,
"{'2': [0.8376373052597046, 0.0], '5': [0.0, 0.0], '4': [0.0, 0.13954530656337738], '3': [0.023997440934181213, 0.24695777893066406], '1': [0.0, 0.8]}",218.8661182,5,,
"{'2': [1.0, 1.0], '5': [0.0, 1.0], '4': [1.0, 0.0], '3': [0.0, 1.0], '1': [0.0, 1.0]}",388.3232618,6,,
"{'2': [0.6037231683731079, 0.0], '5': [0.0, 0.0], '4': [0.9978213906288147, 0.7845977544784546], '3': [0.0, 0.0], '1': [0.0, 0.8]}",,7,,
"{'2': [0.24606308341026306, 1.0], '5': [1.0, 1.0], '4': [1.0, 0.6867539286613464], '3': [0.0, 1.0], '1': [0.0, 0.0]}",174.1317633,8,,
"{'2': [0.9365008473396301, 0.0], '5': [1.0, 1.0], '4': [1.0, 0.0], '3': [0.7265583872795105, 1.0], '1': [0.0, 1.0]}",388.7869018,9,,
